Dia (Dia da Semana) ,Data (dd/mm/aa),Turno,Descarte (kg),Produção Total (kg),Produção ideal (kg),Produção - Arroz (kg),Produção - Feijão (kg),Produção - Macarrão (kg),Produção - Batata (kg),Produção - Carne (kg),Produção - Extrato de tomate (kg),Produção - Alface (Unid.),Produção - Cenoura (ou Beterraba) (kg),Produção - Couve (Maços),Produção - Tomate (kg),Produção - Pepino (kg),Produção - Cebola (kg),Classificação do dia
Sexta-feira,04/08/2023,Jantar,"7,55","268,5","260,95",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,05/08/2023,Almoço,10,"448,5","438,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,05/08/2023,Jantar,4,"268,5","264,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,06/08/2023,Almoço,"10,15","448,5","438,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,06/08/2023,Jantar,"8,25","268,5","260,25",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,07/08/2023,Almoço,58,"448,5","390,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,07/08/2023,Jantar,"16,6","268,5","251,9",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,08/08/2023,Almoço,"55,55","448,5","392,95",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,08/08/2023,Jantar,"15,2","268,5","253,3",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,09/08/2023,Almoço,"30,9","448,5","417,6",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,09/08/2023,Jantar,10,"268,5","258,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,10/08/2023,Almoço,"35,05","448,5","413,45",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,10/08/2023,Jantar,0,"268,5","268,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,11/08/2023,Almoço,35,"448,5","413,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,11/08/2023,Jantar,6,"268,5","262,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,12/08/2023,Almoço,4,"448,5","444,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,12/08/2023,Jantar,1,"268,5","267,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,13/08/2023,Almoço,6,"448,5","442,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,13/08/2023,Jantar,"17,25","268,5","251,25",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,14/08/2023,Almoço,"41,9","448,5","406,6",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,14/08/2023,Jantar,18,"268,5","250,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,15/08/2023,Almoço,"75,25","448,5","373,25",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,15/08/2023,Jantar,34,"268,5","234,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,16/08/2023,Almoço,"28,45","448,5","420,05",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,16/08/2023,Jantar,15,"268,5","253,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,17/08/2023,Almoço,"16,3","448,5","432,2",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
