DATA,DESCRIÇÃO,Precipitação,Umidade,Vento,Temperatura
2023-07-07,Almoço,0.0,85.66666666666667,1.666666666666667,9.583333333333334
2023-07-07,Jantar,0.0,46.666666666666664,1.7999999999999998,19.7
2023-07-08,Almoço,0.0,86.33333333333333,1.6666666666666667,10.15
2023-07-08,Jantar,0.0,42.5,2.533333333333333,21.483333333333334
2023-07-09,Almoço,0.0,77.16666666666667,1.2666666666666668,15.200000000000001
2023-07-09,Jantar,0.3333333333333333,69.33333333333333,1.0666666666666667,19.25
2023-07-10,Almoço,0.0,97.5,1.5999999999999999,14.633333333333333
2023-07-10,Jantar,0.0,67.33333333333333,1.7333333333333332,20.933333333333334
2023-07-11,Almoço,0.0,91.66666666666667,1.5333333333333332,13.75
2023-07-11,Jantar,0.0,50.333333333333336,1.5999999999999999,24.133333333333336
2023-07-12,Almoço,0.0,77.5,1.5999999999999999,16.05
